1 2 3 4
-3976464902511792029 -1073935208335554146 -3231212421581888496 3761631298891615451
3468727141110924308 -8037093185698965233 3824147195488688502 1899239846987270039
7204467806676542972 4493731268972664471 -758063825135955792 1872024406923892198
-1299977523096675263 4228123033195676993 4863811536058263425 6620008198125544077
-8710719251970298728 3238062388033429008 -5489235156810251381 8367762590725574700
-5175285376602124862 5009373375527697210 8231272878609274171 -4576921960531070130
-4400982698277111869 -1705767735379772597 2049990387628342044 -5258579448688195123
8924310682305209087 349694459214400134 6648582835414565031 -9153310292860097878
-6292164204577898671 -3745106426039975824 146261682938732776 8776528941709826020
1326543655955197960 8289035908502266842 -5499992019758953555 -5826292134965125992
3141620403308020197 -9117658533275942352 -1780993491315517968 2131658614218473
3567723393082141111 -8899875972202844771 3079330797705998286 -1922356271038709208
-8869350081987058617 4327726854174642920 -4774080118017171670 5595851185081580892
-1335051321086508798 2372970650099039901 -786267794454658756 -6202494339888198455
4912266647044859827 778556483382216099 1808883887107844255 9212231922432042810
-5167463476872620563 3253927767120553926 3069788611990122148 5388602538317221468
-1909308837921161462 -6126013000344631698 -6969811551867507243 1854967641951910677
-1228353011828021927 -7288912512334611743 -2090264407006532907 7035224921434340564
736689489311094337 3965537497357637338 4576930443314674653 895004401132270597
-90957130659251144 -5902966283720123118 5717481097919071000 -3514252665550245069
7343152873666292067 1471034553679611459 -3206488215290574721 219359825720381986
-3566434543284749444 -2876504096357450057 4999068730392297429 -3563859847260200619
1256435960515032913 -6683288833925410480 1161557643356899343 3799348897078595134
-4222213381507261802 -5227078818194833222 -8356542268448639935 7784242135924627212
-8461186002222891337 1504754032243932590 133058879737056818 4966736471848882778
-3815141225298754520 2587397343647231153 7876608632713905441 -1980548214923611304
-1046193852532758229 -871246807600494220 -5450335433951621451 797282663063459243
4396692641048967415 3603808761892591706 7231800813312049689 2023078586867624989
-5046120075972373346 545122547023690896 -1801297783338338074 -9055408648607473911
7600864066884443204 -6466951489503521152 7144919780789049635 4480855247886478457
8119841194176165853 -6472366406993775754 7075665229816621631 -2290982546658586154
9081563839563397449 1800355135772571345 -2476227488916857817 -1543221613365201973
-8035138420806549261 -4887416294932852888 -122907386930719226 -3296812493398577580
-6733295564687492494 -4343451181768911201 9117098601767195967 -2230015831457452050
-8908599912221720871 7275789714011579997 -2006991958742332083 -7924546593684972365
-3363894808140390220 -7656747728294406461 -3022696711685636820 -3987219312081352635
2904881081206057577 -1609350463471729702 -6011869951780752819 1362087900119823925
7953447683263833933 -6606997338365679426 1511704682427439131 7609711988616704331
